Starting run
3.46955: stare
3.50367: arise
3.4851: raise
3.46998: snare
3.49633: share
3.4514: slate
3.46911: stale
3.46911: saner
3.49071: arose
3.47603: scare
3.50065: saute
3.47646: parse
3.47775: store
3.43844: crate
3.43931: trace
3.46393: least
3.48337: snore
3.46523: react
3.48337: caste
3.48855: rinse
3.51404: solar
3.48553: siren
3.47171: trade
3.48855: irate
3.47991: cater
3.48164: trail
3.5054: aisle
3.4851: grate
3.48898: sonar
3.4743: stole
3.5162: teary
3.49762: later
3.50065: stair
3.45529: roast
3.49114: heart
3.48121: alter
3.49417: alert
3.4743: scale
3.52354: hater
3.44363: crane
3.49158: learn
3.46134: train
3.49806: glare
3.48553: trial
3.55378: layer
3.51533: renal
3.52657: loser
3.50799: canoe
3.46955: plate
3.47646: leant
3.49633: alien
3.50626: atone
3.49374: alone
3.51102: clear
3.46048: trice
3.5257: adore
3.527: route
3.51188: risen
3.50324: tenor
3.48294: spare
3.49071: shale
3.50972: rouse
3.49849: score
3.53434: resin
3.55076: lager
3.5054: taper
3.5054: stone
3.52527: shear
3.53045: large
3.51317: shore
3.52225: sauce
3.53866: cause
3.51145: shire
3.50756: steal
3.49374: pearl
3.51015: paler
3.47127: lance
3.50281: blare
3.52225: noise
3.51663: tamer
3.54039: yearn
3.54687: yeast
3.50367: tread
3.48337: dealt
3.46868: crone
3.55853: relay
3.50626: leapt
3.51533: snarl
3.56112: early
3.46825: slice
3.47948: close
3.53218: great
3.52873: aider
3.5149: liner
3.47343: plane
3.53218: lathe
3.51663: arson
3.52959: flare
3.45184: slant
3.48942: trope
3.48726: tripe
3.53434: urine
3.53909: ratio
3.52613: earth
3.50281: table
3.527: stern
3.48985: crest
3.49892: cleat
3.52527: realm
3.53866: safer
3.52138: cadet
3.53261: inter
3.51447: horse
3.5473: islet
3.50108: carol
3.52873: inert
3.53175: inlet
3.54989: louse
3.49935: lapse
3.50583: paste
3.56285: afire
3.50194: spore
3.57322: taker
3.52873: haste
3.49374: prose
3.52959: spear
3.53089: leash
3.51145: spire
3.50756: grace
3.5149: range
3.53607: baler
3.53132: smear
3.48251: clone
3.50238: coral
3.53866: stage
3.52527: nurse
3.49676: salon
3.49762: panel
3.49374: prone
3.52786: ramen
3.57495: aside
3.48207: tried
3.56847: haute
3.4851: truce
3.53002: baste
3.51404: talon
3.5257: artsy
3.51793: suite
3.53521: satyr
3.50583: tonal
3.54903: utile
3.46177: saint
3.49546: slain
3.56544: acute
